Time	    Memory		CPU
1560268921: 22.07%		0.55%		
1560268922: 23.82%		0.55%		
1560268924: 23.87%		0.55%		
1560268925: 23.87%		0.55%		
1560268926: 23.92%		0.50%		
1560268928: 23.97%		0.50%		
1560268929: 24.42%		0.50%		
1560268930: 24.02%		0.50%		
1560268932: 24.02%		0.46%		
1560268933: 24.02%		0.46%		
1560268934: 23.97%		0.46%		
1560268935: 24.07%		0.46%		
1560268937: 24.02%		0.43%		
1560268938: 24.02%		0.43%		
1560268939: 24.02%		0.43%		
1560268941: 24.02%		0.39%		
1560268942: 24.02%		0.39%		
1560268943: 23.97%		0.39%		
1560268944: 24.17%		0.39%		
1560268946: 24.07%		0.44%		
1560268947: 24.07%		0.44%		
1560268948: 24.02%		0.44%		
1560268950: 24.02%		0.44%		
1560268951: 24.02%		0.40%		
1560268952: 24.02%		0.40%		
1560268953: 24.67%		0.40%		
1560268955: 24.67%		0.40%		
1560268956: 24.67%		0.45%		
1560268957: 24.72%		0.45%		
1560268959: 24.72%		0.45%		
1560268960: 24.72%		0.45%		
1560268961: 24.72%		0.42%		
1560268962: 24.72%		0.42%		
1560268964: 24.72%		0.42%		
1560268965: 24.72%		0.42%		
1560268966: 24.72%		0.38%		
1560268968: 24.72%		0.38%		
1560268969: 24.72%		0.38%		
1560268970: 24.77%		0.38%		
1560268972: 24.72%		0.35%		
1560268973: 24.72%		0.35%		
1560268974: 24.72%		0.35%		
1560268975: 24.72%		0.35%		
1560268977: 24.72%		0.32%		
1560268978: 24.72%		0.32%		
1560268979: 24.72%		0.32%		
1560268981: 24.72%		0.30%		
1560268982: 24.72%		0.30%		
1560268983: 24.72%		0.30%		
1560268984: 24.77%		0.30%		
1560268986: 24.77%		0.51%		
1560268987: 24.72%		0.51%		
1560268988: 24.72%		0.51%		
1560268990: 24.72%		0.51%		
1560268991: 24.72%		0.47%		
1560268992: 24.72%		0.47%		
1560268993: 24.72%		0.47%		
1560268995: 24.72%		0.47%		
1560268996: 24.72%		0.43%		
1560268997: 24.72%		0.43%		
1560268999: 24.72%		0.43%		
1560269000: 24.72%		0.43%		
1560269001: 24.72%		0.40%		
1560269002: 24.72%		0.40%		
1560269004: 24.72%		0.40%		
1560269005: 24.72%		0.40%		
1560269006: 24.72%		0.37%		
1560269008: 24.72%		0.37%		
1560269009: 24.72%		0.37%		
1560269010: 24.72%		0.37%		
1560269011: 24.72%		0.34%		
1560269013: 24.72%		0.34%		
1560269014: 24.72%		0.34%		
1560269015: 24.72%		0.34%		
1560269017: 24.72%		0.31%		
1560269018: 24.72%		0.31%		
1560269019: 24.72%		0.31%		
1560269020: 24.72%		0.31%		
1560269022: 24.72%		0.28%		
1560269023: 24.72%		0.28%		
1560269024: 24.67%		0.28%		
1560269026: 24.72%		0.26%		
1560269027: 24.72%		0.26%		
1560269028: 24.72%		0.26%		
1560269029: 24.72%		0.26%		
1560269031: 24.72%		0.40%		
1560269032: 24.72%		0.40%		
1560269033: 24.72%		0.40%		
1560269035: 24.72%		0.40%		
1560269036: 24.72%		0.37%		
1560269037: 24.72%		0.37%		
1560269038: 24.72%		0.37%		
1560269040: 24.72%		0.37%		
1560269041: 24.72%		0.50%		
1560269042: 24.72%		0.50%		
1560269044: 24.72%		0.50%		
1560269045: 24.72%		0.50%		
1560269046: 24.72%		0.46%		
1560269048: 24.77%		0.46%		
1560269049: 24.72%		0.46%		
1560269050: 24.72%		0.46%		
1560269051: 24.72%		0.50%		
1560269053: 24.72%		0.50%		
1560269054: 24.72%		0.50%		
1560269055: 24.72%		0.50%		
1560269056: 24.72%		0.46%		
1560269058: 24.72%		
1560269059: 22.92%		0.46%		
1560269060: 22.92%		0.46%		
1560269061: 22.92%		0.59%		
1560269063: 22.92%		0.59%		
