Time	    Memory		CPU
1560269064: 22.92%		0.59%		
1560269065: 20.81%		0.59%		
1560269067: 20.81%		0.70%		
1560269068: 20.81%		0.70%		
1560269069: 18.76%		0.70%		
1560269071: 18.76%		0.70%		
1560269072: 18.76%		0.64%		
1560269073: 16.75%		0.64%		
1560269074: 14.64%		0.64%		
1560269076: 14.69%		0.59%		
1560269077: 14.69%		0.59%		
1560269078: 14.69%		0.59%		
1560269079: 14.64%		0.59%		
1560269081: 14.79%		0.70%		
1560269082: 14.74%		0.70%		
1560269083: 14.74%		0.70%		
1560269085: 14.74%		0.70%		
1560269086: 14.74%		0.65%		
1560269087: 14.74%		0.65%		
1560269089: 14.69%		0.65%		
1560269090: 14.69%		0.65%		
1560269091: 14.64%		0.60%		
1560269092: 14.79%		0.60%		
1560269094: 14.74%		0.60%		
1560269095: 14.74%		0.60%		
1560269096: 14.74%		0.55%		
1560269098: 14.69%		0.55%		
1560269099: 14.79%		0.55%		
1560269100: 14.79%		0.55%		
1560269102: 14.79%		0.66%		
1560269103: 14.79%		0.66%		
1560269104: 14.79%		0.66%		
1560269105: 14.74%		0.66%		
1560269107: 14.79%		0.61%		
1560269108: 14.74%		0.61%		
1560269109: 14.74%		0.61%		
1560269111: 14.69%		0.56%		
1560269112: 14.69%		0.56%		
1560269113: 14.69%		0.56%		
1560269115: 14.69%		0.56%		
1560269116: 14.69%		0.52%		
1560269117: 14.69%		0.52%		
1560269119: 14.69%		0.52%		
1560269120: 14.69%		0.52%		
1560269121: 14.69%		0.47%		
1560269122: 14.64%		0.47%		
1560269124: 14.64%		0.47%		
1560269125: 14.69%		0.47%		
1560269126: 14.69%		0.44%		
1560269128: 14.69%		0.44%		
1560269129: 14.69%		0.44%		
1560269130: 14.69%		0.44%		
1560269132: 14.69%		0.40%		
1560269133: 14.69%		0.40%		
1560269134: 14.69%		0.40%		
1560269136: 14.64%		0.40%		
1560269137: 14.49%		0.37%		
1560269138: 14.49%		0.37%		
1560269139: 14.44%		0.37%		
1560269141: 14.44%		0.34%		
1560269142: 14.44%		0.34%		
1560269143: 14.44%		0.34%		
1560269145: 14.44%		0.34%		
1560269146: 14.44%		0.31%		
1560269147: 14.44%		0.31%		
1560269149: 14.44%		0.31%		
1560269150: 14.44%		0.31%		
1560269151: 14.44%		0.29%		
1560269152: 14.44%		0.29%		
1560269154: 14.44%		0.29%		
1560269155: 14.44%		0.29%		
1560269156: 14.44%		0.26%		
1560269158: 14.44%		0.26%		
1560269159: 14.44%		0.26%		
1560269160: 14.44%		0.26%		
1560269162: 14.44%		0.24%		
1560269163: 14.44%		0.24%		
1560269164: 14.44%		0.24%		
1560269165: 14.44%		0.24%		
1560269167: 14.44%		0.22%		
1560269168: 14.44%		0.22%		
1560269169: 14.44%		0.22%		
1560269171: 14.44%		0.20%		
1560269172: 14.44%		0.20%		
1560269173: 14.44%		0.20%		
1560269175: 14.44%		0.20%		
1560269176: 14.44%		0.19%		
1560269177: 14.44%		0.19%		
1560269179: 14.44%		0.19%		
1560269180: 14.44%		0.19%		
1560269181: 14.44%		0.17%		
1560269182: 14.44%		0.17%		
1560269184: 14.44%		0.17%		
1560269185: 14.44%		0.17%		
1560269186: 14.44%		0.16%		
1560269188: 14.44%		0.16%		
1560269189: 14.44%		0.16%		
1560269190: 14.44%		0.16%		
1560269192: 14.44%		0.15%		
1560269193: 14.44%		0.15%		
1560269194: 14.44%		0.15%		
1560269195: 14.44%		0.15%		
1560269197: 14.44%		0.13%		
1560269198: 14.44%		0.13%		
1560269199: 14.44%		0.13%		
1560269201: 14.44%		0.13%		
1560269202: 14.44%		0.12%		
1560269203: 14.44%		0.12%		
1560269204: 14.44%		0.12%		
1560269206: 14.44%		0.11%		
1560269207: 14.44%		0.11%		
1560269208: 14.44%		0.11%		
1560269210: 14.44%		0.11%		
1560269211: 14.44%		0.10%		
1560269212: 14.44%		0.10%		
1560269214: 14.44%		0.10%		
1560269215: 14.44%		0.10%		
1560269216: 14.44%		0.10%		
1560269218: 14.44%		0.10%		
1560269219: 14.44%		0.10%		
1560269220: 14.44%		0.10%		
