Memory		CPU
20.11		0.40		
21.87		0.40		
21.92		0.40		
21.92		0.37		
21.92		0.37		
21.92		0.37		
21.97		0.37		
21.97		0.34		
22.22		0.34		
22.57		0.34		
22.62		0.31		
22.62		0.31		
22.62		0.31		
22.62		0.31		
22.62		0.52		
22.62		0.52		
22.62		0.52		
22.62		0.52		
22.62		0.64		
22.62		0.64		
22.62		0.64		
22.62		0.64		
22.62		0.67		
22.62		0.67		
22.82		0.67		
24.12		0.67		
25.53		0.78		
26.43		
25.58		0.78		
26.73		0.78		
27.68		0.80		
28.99		0.00		
30.44		0.00		
32.25		0.00		
32.60		0.00		
33.70		0.00		
35.21		0.00		
36.36		0.00		
37.86		0.00		
39.42		0.00		
40.92		0.00		
42.48		0.00		
43.73		0.00		
44.33		0.00		
44.38		0.00		
45.94		0.00		
47.49		0.00		
49.10		0.00		
50.95		0.00		
51.55		0.00		
53.06		0.00		
54.61		0.00		
56.12		0.00		
57.62		0.00		
59.18		0.00		
60.68		0.00		
62.19		0.00		
63.69		0.00		
66.65		0.00		
66.65		0.00		
66.65		0.00		
67.85		0.00		
67.85		0.00		
66.80		0.00		
68.20		0.00		
69.51		0.00		
70.81		0.00		
72.12		0.00		
73.47		0.00		
74.77		0.00		
75.63		0.00		
75.43		0.00		
76.68		0.00		
78.08		0.00		
85.66		0.00		
79.29		0.00		
80.54		0.00		
81.85		0.00		
83.15		0.00		
84.45		0.00		
85.71		0.00		
86.96		0.00		
88.21		0.00		
89.47		0.00		
90.72		0.00		
91.98		0.00		
93.23		0.00		
94.43		0.00		
95.74		0.00		
96.29		0.00		
96.34		0.00		
96.19		0.00		
96.49		3.21		
94.78		3.21		
9.48		3.59		
7.27		3.59		
7.32		3.63		
7.32		3.63		
7.42		3.63		
7.47		3.63		
7.47		3.34		
7.47		3.34		
7.77		3.34		
7.82		3.34		
8.12		3.15		
7.82		3.15		
7.82		3.15		
7.82		3.15		
7.82		2.90		
7.87		2.90		
7.87		2.90		
7.87		2.90		
7.87		2.66		
7.87		2.66		
7.87		2.66		
7.87		2.66		
7.87		2.45		
7.87		2.45		
7.87		2.45		
7.87		2.45		
7.87		2.33		
7.87		2.33		
7.87		2.33		
7.87		2.33		
7.87		2.23		
7.87		2.23		
7.87		2.23		
7.87		2.05		
7.87		2.05		
7.87		2.05		
7.87		2.05		
7.87		1.88		
7.87		1.88		
7.87		1.88		
7.87		1.88		
7.87		1.73		
7.87		1.73		
7.87		1.73		
7.87		1.73		
7.87		1.59		
7.87		1.59		
7.87		1.59		
7.92		1.59		
7.87		1.47		
7.87		1.47		
7.87		1.47		
7.87		1.47		
7.87		1.35		
7.87		1.35		
7.87		1.35		
7.87		1.35		
7.87		1.32		
7.87		1.32		
7.87		1.32		
7.87		1.32		
7.87		1.29		
7.87		1.29		
7.87		1.29		
7.87		1.27		
7.87		1.27		
7.87		1.27		
7.87		1.27		
7.87		1.17		
7.87		1.17		
7.87		1.17		
7.87		1.17		
7.92		1.15		
7.97		1.15		
7.97		1.15		
7.97		1.15		
7.97		1.06		
7.97		1.06		
7.97		1.06		
7.97		1.06		
7.97		0.98		
7.97		0.98		
7.97		0.98		
8.07		0.98		
8.07		0.90		
8.07		0.90		
8.07		0.90		
8.07		0.90		
8.02		0.83		
8.02		0.83		
8.07		0.83		
8.07		0.76		
8.02		0.76		
8.02		0.76		
8.02		0.76		
8.02		0.70		
8.02		0.70		
8.02		0.70		
8.07		0.70		
8.07		0.64		
8.07		0.64		
8.07		0.64		
8.07		0.64		
8.02		0.67		
8.02		0.67		
8.02		0.67		
8.07		0.67		
8.02		0.62		
8.02		0.62		
8.02		0.62		
8.02		0.62		
8.02		0.65		
8.02		0.65		
8.02		0.65		
8.02		0.65		
8.02		0.60		
8.02		0.60		
8.07		0.60		
8.02		0.60		
8.02		0.55		
8.02		0.55		
8.07		0.55		
8.07		0.58		
8.02		0.58		
8.07		0.58		
8.07		0.58		
8.07		0.54		
8.07		0.54		
8.07		0.54		
8.07		0.54		
8.07		0.49
