Time	    Memory		CPU
1560258909: 21.92%		0.33%		
1560258910: 23.67%		0.30%		
1560258912: 23.72%		0.30%		
1560258913: 23.72%		0.30%		
1560258914: 23.72%		0.30%		
1560258915: 23.72%		0.28%		
1560258917: 23.67%		0.28%		
1560258918: 23.72%		0.28%		
1560258919: 23.72%		0.28%		
1560258921: 23.72%		0.26%		
1560258922: 23.72%		0.26%		
1560258923: 23.67%		0.26%		
1560258924: 23.72%		0.26%		
1560258926: 23.72%		0.24%		
1560258927: 23.72%		0.24%		
1560258928: 23.72%		0.24%		
1560258930: 23.72%		0.24%		
1560258931: 23.72%		0.22%		
1560258932: 23.72%		0.22%		
1560258933: 23.72%		0.22%		
1560258935: 23.72%		0.22%		
1560258936: 23.77%		0.20%		
1560258937: 23.87%		0.20%		
1560258939: 24.27%		0.20%		
1560258940: 23.87%		0.20%		
1560258941: 23.87%		0.18%		
1560258942: 23.87%		0.18%		
1560258944: 23.87%		0.18%		
1560258945: 23.87%		0.18%		
1560258946: 23.87%		0.17%		
1560258947: 23.87%		0.17%		
1560258949: 23.87%		0.17%		
1560258950: 23.87%		0.16%		
1560258951: 23.82%		0.16%		
1560258953: 24.02%		0.16%		
1560258954: 23.87%		0.16%		
1560258955: 23.87%		0.46%		
1560258956: 23.87%		0.46%		
1560258958: 23.82%		0.46%		
1560258959: 23.82%		0.46%		
1560258960: 23.87%		0.43%		
1560258962: 23.82%		0.43%		
1560258963: 23.87%		0.43%		
1560258964: 23.87%		0.43%		
1560258965: 23.92%		0.39%		
1560258967: 23.92%		0.39%		
1560258968: 23.87%		0.39%		
1560258969: 23.87%		0.39%		
1560258971: 24.47%		0.44%		
1560258972: 24.52%		0.44%		
1560258973: 24.52%		0.44%		
1560258974: 24.52%		0.44%		
1560258976: 24.52%		0.41%		
1560258977: 24.52%		0.41%		
1560258978: 24.52%		0.41%		
1560258980: 24.52%		0.41%		
1560258981: 24.52%		0.37%		
1560258982: 24.52%		0.37%		
1560258983: 24.52%		0.37%		
1560258985: 24.52%		0.37%		
1560258986: 24.52%		0.34%		
1560258987: 24.52%		0.34%		
1560258989: 24.52%		0.34%		
1560258990: 24.52%		0.34%		
1560258991: 24.52%		0.64%		
1560258992: 24.52%		0.64%		
1560258994: 24.52%		0.64%		
1560258995: 24.52%		0.64%		
1560258996: 24.52%		0.66%		
1560258998: 24.52%		0.66%		
1560258999: 24.52%		0.66%		
1560259000: 24.52%		0.69%		
1560259001: 24.52%		0.69%		
1560259003: 24.52%		0.69%		
1560259004: 24.52%		0.69%		
1560259005: 24.52%		0.64%		
1560259007: 24.52%		0.64%		
1560259008: 24.52%		0.64%		
1560259009: 24.52%		0.64%		
1560259011: 24.52%		0.75%		
1560259012: 24.52%		0.75%		
1560259013: 24.52%		0.75%		
1560259014: 24.52%		0.75%		
1560259016: 24.52%		0.69%		
1560259017: 24.52%		0.69%		
1560259018: 24.52%		0.69%		
1560259020: 24.52%		0.69%		
1560259021: 24.52%		0.63%		
