Time	    Memory		CPU
1560259022: 24.52%		0.63%		
1560259023: 24.52%		0.63%		
1560259025: 24.52%		0.63%		
1560259026: 24.52%		0.58%		
1560259027: 24.52%		0.58%		
1560259029: 24.52%		0.58%		
1560259030: 24.52%		0.58%		
1560259031: 24.52%		0.53%		
1560259032: 24.47%		0.53%		
1560259034: 24.52%		0.53%		
1560259035: 24.47%		0.49%		
1560259036: 24.52%		0.49%		
1560259038: 24.52%		0.49%		
1560259039: 24.47%		0.49%		
1560259040: 24.47%		0.53%		
1560259042: 24.47%		0.53%		
1560259043: 24.52%		0.53%		
1560259044: 22.72%		0.53%		
1560259045: 22.72%		0.49%		
1560259047: 22.72%		0.49%		
1560259048: 22.72%		0.49%		
1560259049: 22.72%		0.49%		
1560259051: 22.72%		0.45%		
1560259052: 22.72%		0.45%		
1560259053: 22.72%		0.45%		
1560259055: 22.72%		0.45%		
1560259056: 22.72%		0.41%		
1560259057: 22.72%		0.41%		
1560259058: 22.72%		0.41%		
1560259060: 22.72%		0.41%		
1560259061: 22.72%		0.38%		
1560259062: 22.72%		0.38%		
1560259064: 22.72%		0.38%		
1560259065: 22.72%		0.38%		
1560259066: 22.72%		0.35%		
1560259067: 22.72%		0.35%		
1560259073: 22.72%		0.35%		
1560259074: 22.72%		0.32%		
1560259076: 22.72%		0.32%		
1560259077: 22.72%		0.32%		
1560259078: 22.72%		0.32%		
1560259080: 22.72%		0.37%		
1560259081: 22.72%		0.37%		
1560259082: 22.72%		0.37%		
1560259083: 22.72%		0.37%		
1560259085: 22.67%		0.43%		
1560259086: 22.72%		0.43%		
1560259087: 22.72%		0.43%		
1560259089: 22.72%		0.43%		
1560259090: 22.72%		0.55%		
1560259091: 22.72%		0.55%		
1560259092: 22.67%		0.55%		
1560259094: 22.67%		0.55%		
1560259095: 22.72%		0.51%		
1560259096: 22.72%		0.51%		
1560259098: 22.72%		0.51%		
1560259099: 22.72%		0.51%		
1560259100: 22.72%		0.47%		
1560259101: 22.67%		0.47%		
1560259103: 22.67%		0.47%		
1560259104: 22.67%		0.47%		
1560259105: 22.67%		0.43%		
1560259107: 22.72%		0.43%		
1560259108: 22.72%		0.43%		
1560259105: 22.72%		0.43%		
1560259106: 22.72%		0.39%		
1560259108: 22.72%		0.39%		
1560259109: 22.72%		0.39%		
1560259110: 22.72%		0.39%		
1560259111: 22.72%		0.44%		
1560259113: 22.72%		0.44%		
1560259114: 22.67%		0.44%		
1560259115: 22.72%		0.41%		
1560259117: 22.72%		0.41%		
1560259118: 22.72%		0.41%		
1560259119: 22.72%		0.41%		
1560259120: 22.72%		0.37%		
1560259122: 22.72%		0.37%		
1560259123: 22.67%		0.37%		
1560259124: 22.72%		0.37%		
1560259126: 22.67%		0.42%		
1560259127: 22.67%		0.42%		
1560259128: 22.67%		0.42%		
1560259130: 22.67%		0.42%		
1560259131: 22.67%		0.47%		
1560259132: 22.72%		0.47%		
1560259133: 22.72%		0.47%		
1560259135: 22.72%		0.47%		
1560259136: 22.72%		0.43%		
1560259137: 22.67%		0.43%		
1560259139: 22.67%		0.43%		
1560259140: 22.72%		0.43%		
1560259141: 22.72%		0.40%		
1560259142: 22.72%		0.40%		
1560259144: 22.72%		0.40%		
1560259145: 22.67%		0.40%		
1560259146: 22.72%		0.37%		
1560259148: 22.67%		0.37%		
1560259149: 22.67%		0.37%		
1560259150: 22.72%		0.34%		
1560259151: 22.67%		0.34%		
1560259153: 22.67%		0.34%		
1560259154: 22.67%		0.34%		
1560259155: 22.67%		0.47%		
1560259157: 22.67%		0.47%		
1560259158: 22.72%		0.47%		
1560259159: 22.72%		0.47%		
1560259160: 22.72%		0.43%		
1560259162: 22.72%		0.43%		
1560259163: 22.72%		0.43%		
1560259164: 22.72%		0.43%		
1560259166: 22.67%		0.40%		
1560259167: 22.67%		0.40%		
1560259168: 22.67%		0.40%		
1560259169: 22.72%		0.40%		
1560259171: 22.72%		0.61%		
1560259172: 22.72%		0.61%		
1560259173: 22.72%		0.61%		
1560259175: 22.67%		0.61%		
1560259176: 22.72%		0.56%		
1560259177: 22.72%		0.56%		
1560259178: 22.72%		0.56%		
1560259180: 22.72%		0.56%		
1560259181: 22.72%		0.51%		
1560259182: 22.72%		0.51%		
1560259184: 22.72%		0.51%		
1560259185: 22.72%		0.51%		
1560259186: 22.72%		0.47%		
1560259188: 22.72%		0.47%		
1560259189: 22.72%		0.47%		
1560259190: 22.72%		0.47%		
1560259191: 22.72%		0.51%		
1560259193: 22.72%		0.51%		
1560259194: 22.72%		0.51%		
1560259195: 22.72%		0.71%		
1560259197: 23.67%		0.71%		
1560259198: 24.52%		0.71%		
1560259199: 24.52%		0.71%		
1560259201: 24.52%		0.74%		
1560259202: 24.57%		0.74%		
1560259203: 24.57%		0.74%		
1560259204: 24.52%		0.74%		
1560259206: 24.57%		0.68%		
1560259207: 24.52%		0.68%		
1560259208: 24.57%		0.68%		
