Time	    Memory		CPU
1560267331: 25.63%		0.34%		
1560267332: 25.63%		0.34%		
1560267334: 25.63%		0.34%		
1560267335: 25.63%		0.34%		
1560267336: 25.63%		0.47%		
1560267337: 25.63%		0.47%		
1560267339: 25.63%		0.47%		
1560267340: 25.63%		0.43%		
1560267341: 25.63%		0.43%		
1560267343: 25.63%		0.43%		
1560267344: 25.63%		0.43%		
1560267345: 25.63%		0.40%		
1560267347: 25.63%		0.40%		
1560267348: 25.63%		0.40%		
1560267349: 25.68%		0.40%		
1560267350: 25.63%		0.45%		
1560267352: 25.63%		0.45%		
1560267353: 25.63%		0.45%		
1560267354: 25.63%		0.45%		
1560267356: 25.63%		0.49%		
1560267357: 25.63%		0.49%		
1560267358: 25.63%		0.49%		
1560267359: 25.68%		0.49%		
1560267361: 25.63%		0.45%		
1560267362: 25.68%		0.45%		
1560267363: 25.68%		0.45%		
1560267365: 25.68%		0.45%		
1560267366: 25.23%		0.57%		
1560267367: 25.18%		0.57%		
1560267369: 25.18%		0.57%		
1560267370: 25.23%		0.57%		
1560267371: 25.23%		0.61%		
1560267372: 25.23%		0.61%		
1560267374: 25.18%		0.61%		
1560267375: 25.18%		0.56%		
1560267376: 25.18%		0.56%		
1560267378: 25.18%		0.56%		
1560267379: 25.18%		0.56%		
1560267380: 25.23%		0.60%		
1560267382: 25.23%		0.60%		
1560267383: 25.23%		0.60%		
1560267384: 25.23%		0.60%		
1560267385: 25.18%		0.55%		
1560267387: 25.23%		0.55%		
1560267388: 25.18%		0.55%		
1560267389: 25.23%		0.55%		
