Time	    Memory		CPU
1560266833: 22.27%		0.45%		
1560266834: 24.02%		0.45%		
1560266835: 24.07%		0.50%		
1560266836: 24.07%		0.50%		
1560266838: 24.07%		0.50%		
1560266839: 24.17%		0.50%		
1560266840: 24.22%		0.54%		
1560266842: 24.32%		0.54%		
1560266843: 24.22%		0.54%		
1560266844: 24.22%		0.54%		
1560266845: 24.22%		0.49%		
1560266847: 24.22%		0.49%		
1560266848: 24.22%		0.49%		
1560266849: 24.37%		0.49%		
1560266851: 24.22%		0.53%		
1560266852: 24.22%		0.53%		
1560266853: 24.22%		0.53%		
1560266854: 24.22%		0.53%		
1560266856: 24.17%		0.49%		
1560266857: 24.22%		0.49%		
1560266858: 24.77%		0.49%		
1560266860: 24.87%		0.45%		
1560266861: 24.87%		0.45%		
1560266862: 24.87%		0.45%		
1560266863: 24.87%		0.45%		
1560266865: 24.82%		0.74%		
1560266866: 24.87%		0.74%		
1560266867: 24.87%		0.74%		
1560266869: 24.87%		0.74%		
1560266870: 24.87%		0.68%		
1560266871: 24.87%		0.68%		
1560266873: 24.87%		0.68%		
1560266874: 24.87%		0.68%		
1560266875: 24.87%		0.78%		
1560266876: 24.87%		0.78%		
1560266878: 24.87%		0.78%		
1560266879: 24.87%		0.78%		
1560266880: 24.87%		0.88%		
1560266882: 24.82%		0.88%		
1560266883: 24.87%		0.88%		
1560266884: 24.87%		0.88%		
1560266885: 24.82%		0.81%		
1560266887: 24.87%		0.81%		
1560266888: 24.87%		0.81%		
1560266889: 24.87%		0.81%		
1560266891: 24.87%		0.75%		
1560266892: 24.82%		0.75%		
1560266893: 24.82%		0.75%		
1560266894: 24.82%		0.75%		
1560266896: 24.82%		0.68%		
1560266897: 24.87%		0.68%		
1560266898: 23.07%		0.68%		
1560266900: 23.07%		0.71%		
1560266901: 23.07%		0.71%		
1560266902: 23.07%		0.71%		
1560266904: 23.07%		0.71%		
1560266905: 23.07%		0.73%		
1560266906: 23.07%		0.73%		
1560266907: 23.07%		0.73%		
1560266909: 23.07%		0.73%		
1560266910: 23.07%		0.67%		
