Time	    Memory		CPU
1560266911: 23.07%		0.67%		
1560266913: 23.07%		0.67%		
1560266914: 23.02%		0.67%		
1560266915: 23.07%		0.62%		
1560266916: 23.07%		0.62%		
1560266918: 23.07%		0.62%		
1560266919: 23.07%		0.62%		
1560266920: 23.07%		0.73%		
1560266922: 23.07%		0.73%		
1560266923: 23.07%		0.73%		
1560266924: 23.07%		0.73%		
1560266925: 23.07%		0.67%		
1560266927: 23.07%		0.67%		
1560266928: 23.07%		0.67%		
1560266929: 23.07%		0.67%		
1560266931: 23.07%		0.62%		
1560266932: 23.07%		0.62%		
1560266933: 23.07%		0.62%		
1560266934: 23.07%		0.62%		
1560266936: 22.97%		0.57%		
1560266937: 22.92%		0.57%		
1560266938: 22.92%		0.57%		
1560266940: 22.97%		0.57%		
1560266941: 22.97%		0.60%		
1560266942: 22.92%		0.60%		
1560266943: 22.97%		0.60%		
1560266945: 22.97%		0.72%		
1560266946: 22.92%		0.72%		
1560266947: 22.97%		0.72%		
1560266949: 22.92%		0.72%		
1560266950: 22.97%		0.66%		
1560266951: 22.97%		0.66%		
1560266953: 22.97%		0.66%		
1560266954: 22.92%		0.66%		
1560266955: 22.92%		0.85%		
1560266956: 22.92%		0.85%		
1560266958: 22.92%		0.85%		
1560266959: 22.92%		0.85%		
1560266960: 22.92%		0.86%		
1560266962: 22.97%		0.86%		
1560266963: 22.92%		0.86%		
1560266964: 22.92%		0.86%		
1560266965: 22.92%		0.79%		
1560266967: 22.92%		0.79%		
1560266968: 22.92%		0.79%		
1560266969: 22.92%		0.79%		
1560266971: 22.92%		0.73%		
1560266972: 22.92%		0.73%		
1560266973: 22.92%		0.73%		
1560266974: 22.92%		0.73%		
1560266976: 22.92%		0.67%		
1560266977: 22.92%		0.67%		
1560266978: 22.92%		0.67%		
1560266980: 22.92%		0.67%		
1560266981: 22.92%		0.61%		
1560266982: 22.92%		0.61%		
1560266983: 22.92%		0.61%		
1560266985: 22.92%		0.56%		
1560266986: 22.92%		0.56%		
1560266987: 22.92%		0.56%		
1560266989: 22.92%		0.56%		
1560266990: 22.92%		0.68%		
1560266991: 22.92%		0.68%		
1560266992: 22.97%		0.68%		
1560266994: 22.97%		0.68%		
1560266995: 22.97%		0.63%		
1560266996: 22.92%		0.63%		
1560266998: 22.92%		0.63%		
1560266999: 22.92%		0.63%		
1560267000: 22.92%		0.58%		
1560267001: 22.92%		0.58%		
1560267003: 22.92%		0.58%		
1560267004: 22.92%		0.58%		
1560267005: 22.92%		0.53%		
1560267007: 22.92%		0.53%		
1560267008: 23.87%		0.53%		
1560267009: 24.07%		0.53%		
1560267010: 24.12%		0.49%		
1560267012: 24.12%		0.49%		
1560267013: 24.12%		0.49%		
1560267014: 24.12%		0.49%		
1560267016: 24.12%		0.45%		
1560267017: 24.12%		0.45%		
1560267018: 24.12%		0.45%		
1560267019: 24.12%		0.45%		
1560267021: 24.12%		0.41%		
1560267022: 24.12%		0.41%		
1560267023: 24.12%		0.41%		
1560267024: 24.12%		0.41%		
1560267026: 24.12%		0.38%		
1560267027: 24.12%		0.38%		
1560267028: 24.12%		0.38%		
1560267030: 24.12%		0.38%		
1560267031: 24.12%		0.35%		
1560267032: 24.12%		0.35%		
1560267033: 24.12%		0.35%		
1560267035: 24.12%		0.32%		
1560267036: 22.92%		0.32%		
1560267037: 22.92%		0.32%		
1560267039: 22.92%		0.32%		
1560267040: 22.92%		0.37%		
1560267041: 23.97%		0.37%		
1560267043: 23.02%		0.37%		
1560267044: 23.82%		0.37%		
1560267045: 22.92%		0.42%		
1560267046: 24.02%		0.42%		
1560267048: 24.07%		0.42%		
1560267049: 22.92%		0.42%		
1560267050: 22.92%		0.55%		
1560267051: 22.92%		0.55%		
1560267053: 22.92%		0.55%		
1560267054: 22.92%		0.55%		
1560267055: 22.92%		0.51%		
1560267057: 22.92%		0.51%		
1560267058: 22.92%		0.51%		
1560267059: 22.92%		0.51%		
1560267060: 22.92%		0.55%		
1560267062: 22.92%		0.55%		
1560267063: 22.92%		0.55%		
1560267064: 22.92%		0.55%		
1560267066: 22.92%		0.50%		
1560267067: 22.92%		0.50%		
1560267068: 22.92%		0.50%		
1560267069: 22.92%		0.50%		
1560267071: 22.92%		0.46%		
1560267072: 22.92%		0.46%		
1560267073: 22.92%		0.46%		
1560267075: 22.92%		0.46%		
1560267076: 22.92%		0.42%		
1560267077: 22.92%		0.42%		
1560267078: 22.92%		0.42%		
1560267080: 22.92%		0.47%		
1560267081: 22.92%		0.47%		
1560267082: 22.92%		0.47%		
1560267084: 22.92%		0.47%		
1560267085: 22.92%		0.59%		
1560267086: 22.92%		0.59%		
1560267088: 22.92%		0.59%		
1560267089: 22.92%		0.59%		
1560267090: 23.47%		0.63%		
1560267091: 24.72%		0.63%		
1560267093: 24.77%		0.63%		
1560267094: 24.72%		0.63%		
1560267095: 24.72%		0.58%		
1560267096: 24.77%		0.58%		
1560267098: 24.77%		0.58%		
1560267099: 24.77%		0.58%		
1560267100: 24.77%		0.53%		
1560267102: 24.97%		0.53%		
1560267103: 25.08%		0.53%		
1560267104: 24.92%		0.53%		
1560267105: 24.92%		0.57%		
1560267107: 24.92%		0.57%		
1560267108: 24.92%		0.57%		
1560267109: 24.87%		0.57%		
1560267111: 24.92%		0.52%		
1560267112: 24.92%		0.52%		
1560267113: 24.97%		0.52%		
1560267114: 24.97%		0.52%		
1560267116: 24.97%		0.56%		
1560267117: 24.92%		0.56%		
1560267118: 24.92%		0.56%		
1560267120: 24.92%		0.56%		
1560267121: 24.92%		0.76%		
1560267122: 24.92%		0.76%		
1560267123: 24.92%		0.76%		
1560267125: 24.92%		0.76%		
1560267126: 24.92%		0.70%		
1560267127: 24.92%		0.70%		
1560267128: 24.92%		0.70%		
1560267130: 24.92%		0.70%		
1560267131: 25.18%		0.96%		
