Time	    Memory		CPU
1560259197: 22.72%		0.71%		
1560259198: 24.47%		0.71%		
1560259199: 24.52%		0.71%		
1560259200: 24.52%		0.74%		
1560259202: 24.52%		0.74%		
1560259203: 24.57%		0.74%		
1560259204: 24.52%		0.74%		
1560259205: 24.52%		0.68%		
1560259207: 24.52%		0.68%		
1560259208: 24.57%		0.68%		
1560259209: 24.57%		0.68%		
1560259211: 24.57%		0.62%		
1560259212: 24.72%		0.62%		
1560259213: 24.82%		0.62%		
1560259214: 24.72%		0.62%		
1560259216: 24.72%		0.57%		
1560259217: 24.67%		0.57%		
1560259218: 24.67%		0.57%		
1560259220: 24.72%		0.57%		
1560259221: 24.72%		0.53%		
1560259222: 24.67%		0.53%		
1560259223: 24.67%		0.53%		
1560259225: 24.67%		0.53%		
1560259226: 24.67%		0.56%		
1560259227: 24.67%		0.56%		
1560259229: 24.87%		0.56%		
1560259230: 24.67%		0.56%		
1560259231: 24.67%		0.52%		
1560259232: 24.67%		0.52%		
1560259234: 24.67%		0.52%		
1560259235: 24.67%		0.52%		
1560259236: 24.67%		0.48%		
1560259238: 24.67%		0.48%		
1560259239: 24.67%		0.48%		
1560259240: 24.67%		0.48%		
1560259241: 24.77%		0.44%		
1560259243: 24.67%		0.44%		
1560259244: 24.67%		0.44%		
1560259245: 24.67%		0.44%		
1560259247: 24.67%		0.48%		
1560259248: 25.28%		0.48%		
1560259249: 25.33%		0.48%		
1560259250: 25.33%		0.44%		
1560259252: 25.33%		0.44%		
1560259253: 25.28%		0.44%		
1560259254: 25.33%		0.44%		
1560259256: 25.38%		0.41%		
1560259257: 25.33%		0.41%		
1560259258: 25.33%		0.41%		
1560259259: 25.33%		0.41%		
1560259261: 25.38%		0.38%		
1560259262: 25.38%		0.38%		
1560259263: 25.33%		0.38%		
1560259265: 25.33%		0.38%		
1560259266: 25.38%		0.59%		
1560259267: 25.38%		0.59%		
1560259268: 25.33%		0.59%		
1560259270: 25.38%		0.59%		
1560259271: 25.38%		0.54%		
1560259272: 25.38%		0.54%		
1560259274: 25.33%		0.54%		
1560259275: 25.38%		0.54%		
1560259276: 25.33%		0.66%		
1560259277: 25.33%		0.66%		
1560259279: 25.38%		0.66%		
1560259280: 25.38%		0.66%		
1560259281: 25.33%		0.60%		
1560259282: 25.38%		0.60%		
1560259284: 25.38%		0.60%		
1560259285: 25.33%		0.60%		
1560259286: 25.33%		0.64%		
1560259288: 25.38%		0.64%		
1560259289: 25.38%		0.64%		
1560259290: 25.38%		0.64%		
1560259291: 25.38%		0.58%		
1560259293: 25.38%		0.58%		
1560259294: 25.38%		0.58%		
1560259295: 25.38%		0.58%		
1560259297: 25.38%		0.70%		
1560259298: 25.33%		0.70%		
1560259299: 25.33%		0.70%		
1560259300: 25.38%		0.64%		
1560259302: 25.33%		0.64%		
1560259303: 25.38%		0.64%		
1560259304: 25.33%		0.64%		
1560259306: 25.38%		0.83%		
1560259307: 25.33%		0.83%		
1560259308: 25.38%		0.83%		
1560259309: 25.38%		0.83%		
1560259311: 25.33%		0.84%		
1560259312: 25.33%		0.84%		
1560259313: 25.33%		0.84%		
1560259315: 25.33%		0.84%		
1560259316: 25.33%		0.78%		
1560259317: 25.33%		0.78%		
1560259318: 25.33%		0.78%		
1560259320: 23.57%		0.78%		
1560259321: 23.57%		0.79%		
1560259322: 23.57%		0.79%		
1560259324: 23.57%		0.79%		
1560259325: 23.57%		0.79%		
1560259326: 23.57%		0.73%		
1560259327: 23.57%		0.73%		
1560259329: 23.57%		0.73%		
1560259330: 23.57%		0.73%		
1560259331: 23.57%		0.67%		
1560259333: 23.52%		0.67%		
1560259334: 23.57%		0.67%		
1560259335: 23.52%		0.67%		
1560259336: 23.52%		0.62%		
1560259338: 23.52%		0.62%		
1560259339: 23.52%		0.62%		
1560259340: 23.52%		0.62%		
1560259342: 23.52%		0.57%		
1560259343: 23.52%		0.57%		
1560259344: 23.52%		0.57%		
1560259345: 23.52%		0.52%		
1560259347: 23.57%		0.52%		
1560259348: 23.57%		0.52%		
1560259349: 23.52%		0.52%		
1560259351: 23.52%		0.64%		
1560259352: 23.52%		0.64%		
1560259353: 23.52%		0.64%		
1560259354: 23.52%		0.64%		
1560259356: 23.52%		0.59%		
1560259357: 23.57%		0.59%		
1560259358: 23.52%		0.59%		
1560259360: 23.52%		0.59%		
1560259361: 23.52%		0.54%		
1560259362: 23.52%		0.54%		
1560259363: 23.52%		0.54%		
1560259365: 23.52%		0.54%		
1560259366: 23.52%		0.50%		
1560259367: 23.52%		0.50%		
1560259369: 23.52%		0.50%		
1560259370: 23.52%		0.50%		
1560259371: 23.47%		0.46%		
1560259372: 23.52%		0.46%		
1560259374: 23.52%		0.46%		
1560259375: 23.52%		0.46%		
1560259376: 23.52%		0.42%		
1560259378: 23.52%		0.42%		
1560259379: 23.52%		0.42%		
1560259380: 23.47%		0.42%		
1560259381: 23.52%		0.55%		
1560259383: 23.52%		0.55%		
1560259384: 23.52%		0.55%		
1560259385: 23.52%		0.55%		
1560259387: 23.52%		0.50%		
1560259388: 23.52%		0.50%		
1560259389: 23.52%		0.50%		
1560259390: 23.52%		0.50%		
1560259392: 23.52%		0.54%		
1560259393: 23.52%		0.54%		
1560259394: 23.52%		0.54%		
1560259396: 23.52%		0.58%		
1560259397: 23.52%		0.58%		
1560259398: 23.52%		0.58%		
1560259399: 23.52%		0.58%		
1560259401: 23.57%		0.53%		
1560259402: 23.52%		0.53%		
1560259403: 23.52%		0.53%		
1560259405: 23.52%		0.53%		
1560259406: 23.52%		0.49%		
1560259407: 23.52%		0.49%		
1560259408: 23.57%		0.49%		
1560259410: 23.52%		0.49%		
1560259411: 23.52%		0.45%		
1560259412: 23.57%		0.45%		
1560259414: 23.52%		0.45%		
1560259415: 23.52%		0.45%		
1560259416: 23.52%		0.41%		
1560259417: 23.52%		0.41%		
1560259419: 23.52%		0.41%		
1560259420: 23.52%		0.41%		
1560259421: 23.52%		0.38%		
1560259423: 23.52%		0.38%		
1560259424: 23.57%		0.38%		
1560259425: 23.52%		0.38%		
1560259426: 23.52%		0.35%		
1560259428: 23.52%		0.35%		
1560259429: 23.52%		0.35%		
1560259430: 23.52%		0.35%		
1560259432: 23.52%		0.32%		
1560259433: 23.52%		0.32%		
1560259434: 23.52%		0.32%		
1560259435: 23.52%		0.32%		
1560259437: 23.52%		0.38%		
1560259438: 23.52%		0.38%		
1560259439: 23.52%		0.38%		
1560259441: 23.52%		0.35%		
1560259442: 23.52%		0.35%		
1560259443: 23.52%		0.35%		
1560259444: 23.52%		0.35%		
1560259446: 23.37%		0.48%		
1560259447: 23.42%		0.48%		
1560259448: 23.42%		0.48%		
1560259449: 23.47%		0.48%		
1560259451: 23.47%		0.44%		
1560259452: 23.47%		0.44%		
1560259453: 23.47%		0.44%		
1560259455: 23.52%		0.44%		
1560259456: 23.47%		0.41%		
1560259457: 23.47%		0.41%		
1560259458: 23.47%		0.41%		
1560259460: 23.47%		0.41%		
1560259461: 23.47%		0.37%		
1560259462: 23.47%		0.37%		
1560259464: 23.47%		0.37%		
1560259465: 23.47%		0.37%		
1560259466: 23.47%		0.34%		
1560259467: 23.47%		0.34%		
1560259469: 23.47%		0.34%		
1560259470: 23.47%		0.34%		
1560259471: 23.47%		0.31%		
1560259473: 23.47%		0.31%		
1560259474: 23.47%		0.31%		
1560259475: 23.47%		0.31%		
1560259476: 23.47%		0.29%		
1560259478: 23.47%		0.29%		
1560259479: 23.47%		0.29%		
1560259480: 23.47%		0.29%		
1560259482: 23.47%		0.27%		
1560259483: 23.47%		0.27%		
1560259484: 23.47%		0.27%		
1560259485: 23.47%		0.27%		
1560259487: 23.47%		0.32%		
1560259488: 23.47%		0.32%		
1560259489: 23.47%		0.32%		
1560259491: 23.47%		0.30%		
1560259492: 23.47%		0.30%		
1560259493: 23.47%		0.30%		
1560259494: 23.47%		0.30%		
1560259496: 23.47%		0.76%		
