Time	    Memory		CPU
1560281299: 7.87%		2.66%		
1560281301: 7.87%		2.66%		
1560281302: 7.87%		2.66%		
1560281303: 7.87%		2.45%		
1560281304: 7.87%		2.45%		
1560281306: 7.87%		2.45%		
1560281307: 7.87%		2.45%		
1560281308: 7.87%		2.33%		
1560281310: 7.87%		2.33%		
1560281311: 7.87%		2.33%		
1560281312: 7.87%		2.33%		
1560281314: 7.87%		2.23%		
1560281315: 7.87%		2.23%		
1560281316: 7.87%		2.23%		
1560281317: 7.87%		2.05%		
1560281319: 7.87%		2.05%		
1560281320: 7.87%		2.05%		
1560281321: 7.87%		2.05%		
1560281323: 7.87%		1.88%		
1560281324: 7.87%		1.88%		
1560281325: 7.87%		1.88%		
1560281327: 7.87%		1.88%		
1560281328: 7.87%		1.73%		
1560281329: 7.87%		1.73%		
1560281330: 7.87%		1.73%		
1560281332: 7.87%		1.73%		
1560281333: 7.87%		1.59%		
1560281334: 7.87%		1.59%		
1560281336: 7.87%		1.59%		
1560281337: 7.92%		1.59%		
1560281338: 7.87%		1.47%		
1560281339: 7.87%		1.47%		
1560281341: 7.87%		1.47%		
1560281342: 7.87%		1.47%		
1560281343: 7.87%		1.35%		
1560281345: 7.87%		1.35%		
1560281346: 7.87%		1.35%		
1560281347: 7.87%		1.35%		
1560281349: 7.87%		1.32%		
1560281350: 7.87%		1.32%		
1560281351: 7.87%		1.32%		
1560281352: 7.87%		1.32%		
1560281354: 7.87%		1.29%		
1560281355: 7.87%		1.29%		
1560281356: 7.87%		1.29%		
1560281358: 7.87%		1.27%		
1560281359: 7.87%		1.27%		
1560281360: 7.87%		1.27%		
1560281361: 7.87%		1.27%		
1560281363: 7.87%		1.17%		
1560281364: 7.87%		1.17%		
1560281365: 7.87%		1.17%		
1560281367: 7.87%		1.17%		
1560281368: 7.92%		1.15%		
1560281369: 7.97%		1.15%		
1560281370: 7.97%		1.15%		
1560281372: 7.97%		1.15%		
1560281373: 7.97%		1.06%		
1560281374: 7.97%		1.06%		
1560281376: 7.97%		1.06%		
1560281377: 7.97%		1.06%		
1560281378: 7.97%		0.98%		
1560281379: 7.97%		0.98%		
1560281381: 7.97%		0.98%		
1560281382: 8.07%		0.98%		
1560281383: 8.07%		0.90%		
1560281385: 8.07%		0.90%		
1560281386: 8.07%		0.90%		
1560281387: 8.07%		0.90%		
1560281389: 8.02%		0.83%		
1560281390: 8.02%		0.83%		
1560281391: 8.07%		0.83%		
1560281392: 8.07%		0.76%		
1560281394: 8.02%		0.76%		
1560281395: 8.02%		0.76%		
1560281396: 8.02%		0.76%		
1560281398: 8.02%		0.70%		
1560281399: 8.02%		0.70%		
1560281400: 8.02%		0.70%		
1560281401: 8.07%		0.70%		
1560281403: 8.07%		0.64%		
1560281404: 8.07%		0.64%		
1560281405: 8.07%		0.64%		
1560281407: 8.07%		0.64%		
1560281408: 8.02%		0.67%		
1560281409: 8.02%		0.67%		
1560281410: 8.02%		0.67%		
1560281412: 8.07%		0.67%		
1560281413: 8.02%		0.62%		
1560281414: 8.02%		0.62%		
1560281416: 8.02%		0.62%		
1560281417: 8.02%		0.62%		
1560281418: 8.02%		0.65%		
1560281420: 8.02%		0.65%		
1560281421: 8.02%		0.65%		
1560281422: 8.02%		0.65%		
1560281423: 8.02%		0.60%		
1560281425: 8.02%		0.60%		
1560281426: 8.07%		0.60%		
1560281427: 8.02%		0.60%		
1560281429: 8.02%		0.55%		
1560281430: 8.02%		0.55%		
1560281431: 8.07%		0.55%		
1560281432: 8.07%		0.58%		
1560281434: 8.02%		0.58%		
1560281435: 8.07%		0.58%		
1560281436: 8.07%		0.58%		
1560281438: 8.07%		0.54%		
1560281439: 8.07%		0.54%		
1560281440: 8.07%		0.54%		
1560281441: 8.07%		0.54%		
1560281443: 8.07%		0.49%		
