Time	    Memory		CPU
1560281144: 20.11%		0.40%		
1560281146: 21.87%		0.40%		
1560281147: 21.92%		0.40%		
1560281148: 21.92%		0.37%		
1560281150: 21.92%		0.37%		
1560281151: 21.92%		0.37%		
1560281152: 21.97%		0.37%		
1560281153: 21.97%		0.34%		
1560281155: 22.22%		0.34%		
1560281156: 22.57%		0.34%		
1560281157: 22.62%		0.31%		
1560281159: 22.62%		0.31%		
1560281160: 22.62%		0.31%		
1560281161: 22.62%		0.31%		
1560281162: 22.62%		0.52%		
1560281164: 22.62%		0.52%		
1560281165: 22.62%		0.52%		
1560281166: 22.62%		0.52%		
1560281168: 22.62%		0.64%		
1560281169: 22.62%		0.64%		
1560281170: 22.62%		0.64%		
1560281171: 22.62%		0.64%		
1560281173: 22.62%		0.67%		
1560281174: 22.62%		0.67%		
1560281175: 22.82%		0.67%		
1560281177: 24.12%		0.67%		
1560281178: 25.53%		0.78%		
1560281179: 26.43%		
1560281180: 25.58%		0.78%		
1560281181: 26.73%		0.78%		
1560281183: 27.68%		0.80%		
1560281184: 28.99%		0.00%		
1560281185: 30.44%		0.00%		
1560281187: 32.25%		0.00%		
1560281188: 32.60%		0.00%		
1560281189: 33.70%		0.00%		
1560281190: 35.21%		0.00%		
1560281192: 36.36%		0.00%		
1560281193: 37.86%		0.00%		
1560281194: 39.42%		0.00%		
1560281196: 40.92%		0.00%		
1560281197: 42.48%		0.00%		
1560281198: 43.73%		0.00%		
1560281199: 44.33%		0.00%		
1560281201: 44.38%		0.00%		
1560281202: 45.94%		0.00%		
1560281203: 47.49%		0.00%		
1560281204: 49.10%		0.00%		
1560281206: 50.95%		0.00%		
1560281207: 51.55%		0.00%		
1560281208: 53.06%		0.00%		
1560281210: 54.61%		0.00%		
1560281211: 56.12%		0.00%		
1560281212: 57.62%		0.00%		
1560281213: 59.18%		0.00%		
1560281215: 60.68%		0.00%		
1560281216: 62.19%		0.00%		
1560281217: 63.69%		0.00%		
1560281218: 66.65%		0.00%		
1560281220: 66.65%		0.00%		
1560281221: 66.65%		0.00%		
1560281222: 67.85%		0.00%		
1560281223: 67.85%		0.00%		
1560281225: 66.80%		0.00%		
1560281226: 68.20%		0.00%		
1560281227: 69.51%		0.00%		
1560281228: 70.81%		0.00%		
1560281230: 72.12%		0.00%		
1560281231: 73.47%		0.00%		
1560281232: 74.77%		0.00%		
1560281233: 75.63%		0.00%		
1560281235: 75.43%		0.00%		
1560281236: 76.68%		0.00%		
1560281237: 78.08%		0.00%		
1560281239: 85.66%		0.00%		
1560281240: 79.29%		0.00%		
1560281241: 80.54%		0.00%		
1560281242: 81.85%		0.00%		
1560281244: 83.15%		0.00%		
1560281245: 84.45%		0.00%		
1560281246: 85.71%		0.00%		
1560281247: 86.96%		0.00%		
1560281249: 88.21%		0.00%		
1560281250: 89.47%		0.00%		
1560281251: 90.72%		0.00%		
1560281252: 91.98%		0.00%		
1560281254: 93.23%		0.00%		
1560281255: 94.43%		0.00%		
1560281258: 95.74%		0.00%		
1560281260: 96.29%		0.00%		
1560281263: 96.34%		0.00%		
1560281266: 96.19%		0.00%		
1560281270: 96.49%		3.21%		
1560281271: 94.78%		3.21%		
1560281275: 9.48%		3.59%		
1560281276: 7.27%		3.59%		
1560281278: 7.32%		3.63%		
1560281279: 7.32%		3.63%		
1560281280: 7.42%		3.63%		
1560281281: 7.47%		3.63%		
1560281283: 7.47%		3.34%		
1560281284: 7.47%		3.34%		
1560281285: 7.77%		3.34%		
1560281287: 7.82%		3.34%		
1560281288: 8.12%		3.15%		
1560281289: 7.82%		3.15%		
1560281290: 7.82%		3.15%		
1560281292: 7.82%		3.15%		
1560281293: 7.82%		2.90%		
1560281294: 7.87%		2.90%		
1560281296: 7.87%		2.90%		
1560281297: 7.87%		2.90%		
1560281298: 7.87%		2.66%		
