Time	    Memory		CPU
1560257708: 18.71%		0.46%		
1560257709: 20.41%		0.46%		
1560257710: 20.41%		0.50%		
1560257712: 20.41%		0.50%		
1560257713: 20.41%		0.50%		
1560257714: 18.66%		0.62%		
1560257715: 18.66%		0.62%		
1560257717: 18.66%		0.62%		
1560257718: 18.66%		0.62%		
1560257719: 18.66%		0.73%		
1560257721: 18.66%		0.73%		
1560257722: 18.66%		0.73%		
1560257723: 19.61%		0.73%		
1560257724: 20.11%		0.83%		
1560257726: 19.81%		0.83%		
1560257727: 21.36%		0.83%		
1560257728: 22.97%		0.83%		
1560257730: 22.97%		0.77%		
1560257731: 23.02%		0.77%		
1560257732: 22.97%		0.77%		
1560257733: 23.02%		0.77%		
1560257735: 23.02%		0.71%		
1560257736: 23.02%		0.71%		
1560257737: 23.02%		0.71%		
1560257739: 23.02%		0.71%		
1560257740: 19.71%		0.65%		
1560257741: 19.71%		0.65%		
1560257742: 19.66%		0.65%		
1560257744: 19.66%		0.65%		
1560257745: 19.71%		0.60%		
1560257746: 19.71%		0.60%		
1560257748: 19.71%		0.60%		
1560257749: 19.71%		0.60%		
1560257750: 19.71%		0.55%		
1560257752: 19.66%		0.55%		
1560257753: 19.66%		0.55%		
1560257754: 18.86%		0.55%		
1560257755: 17.60%		0.59%		
1560257757: 17.60%		0.59%		
1560257758: 17.60%		0.59%		
1560257759: 17.60%		0.62%		
1560257761: 17.60%		0.62%		
1560257762: 17.65%		0.62%		
1560257763: 18.76%		0.62%		
1560257764: 18.81%		0.57%		
1560257766: 17.65%		0.57%		
1560257767: 17.65%		0.57%		
1560257768: 17.65%		0.57%		
1560257770: 17.65%		0.60%		
1560257771: 17.65%		0.60%		
1560257772: 17.65%		0.60%		
1560257773: 17.65%		0.60%		
1560257775: 17.65%		0.56%		
1560257776: 17.60%		0.56%		
1560257777: 17.65%		0.56%		
1560257779: 17.80%		0.56%		
1560257780: 19.06%		0.59%		
1560257781: 18.76%		0.59%		
1560257782: 22.67%		0.59%		
1560257784: 21.46%		0.59%		
1560257785: 18.71%		0.62%		
1560257786: 18.71%		0.62%		
1560257788: 18.71%		0.62%		
1560257789: 18.66%		0.62%		
1560257790: 15.40%		0.81%		
1560257791: 15.35%		0.81%		
1560257793: 15.35%		0.81%		
1560257794: 15.35%		0.81%		
1560257795: 15.35%		0.75%		
1560257797: 15.35%		0.75%		
1560257798: 15.35%		0.75%		
1560257799: 15.35%		0.69%		
1560257801: 15.35%		0.69%		
1560257802: 15.40%		0.69%		
1560257803: 15.35%		0.69%		
1560257804: 14.49%		0.63%		
