Time	    Memory		CPU
1560257806: 13.29%		0.63%		
1560257807: 13.29%		0.63%		
1560257808: 13.29%		0.63%		
1560257810: 13.29%		0.58%		
1560257811: 13.29%		0.58%		
1560257812: 13.29%		0.58%		
1560257814: 13.29%		0.58%		
1560257815: 13.29%		0.54%		
1560257816: 13.29%		0.54%		
1560257818: 13.24%		0.54%		
1560257819: 13.24%		0.54%		
1560257820: 13.29%		0.49%		
1560257821: 13.29%		0.49%		
1560257823: 13.29%		0.49%		
1560257824: 13.29%		0.49%		
1560257825: 13.29%		0.45%		
1560257827: 13.29%		0.45%		
1560257828: 13.29%		0.45%		
1560257829: 13.29%		0.45%		
1560257831: 13.34%		0.42%		
1560257832: 13.34%		0.42%		
1560257833: 13.34%		0.42%		
1560257834: 13.29%		0.46%		
1560257836: 13.29%		0.46%		
1560257837: 13.29%		0.46%		
1560257838: 13.29%		0.46%		
1560257840: 13.29%		0.43%		
1560257841: 13.29%		0.43%		
1560257842: 13.29%		0.43%		
1560257844: 13.29%		0.43%		
1560257845: 13.29%		0.39%		
1560257846: 13.29%		0.39%		
1560257847: 13.29%		0.39%		
1560257849: 13.29%		0.39%		
1560257850: 13.29%		0.36%		
1560257851: 13.29%		0.36%		
1560257853: 13.29%		0.36%		
1560257854: 13.24%		0.36%		
1560257855: 13.29%		0.33%		
1560257857: 13.29%		0.33%		
1560257858: 13.29%		0.33%		
1560257859: 13.29%		0.33%		
1560257860: 13.29%		0.30%		
1560257862: 13.29%		0.30%		
1560257863: 13.24%		0.30%		
1560257864: 13.29%		0.28%		
1560257866: 13.29%		0.28%		
1560257867: 13.29%		0.28%		
1560257868: 13.29%		0.28%		
1560257870: 13.29%		0.26%		
1560257871: 13.29%		0.26%		
1560257872: 13.24%		0.26%		
1560257874: 13.29%		0.26%		
1560257875: 13.29%		0.24%		
1560257876: 13.29%		0.24%		
1560257877: 13.29%		0.24%		
1560257879: 13.29%		0.24%		
1560257880: 13.29%		0.22%		
1560257881: 13.29%		0.22%		
1560257883: 13.29%		0.22%		
1560257884: 13.29%		0.22%		
1560257885: 13.24%		0.20%		
1560257887: 13.29%		0.20%		
1560257888: 13.29%		0.20%		
1560257889: 13.29%		0.20%		
1560257890: 13.29%		0.18%		
1560257892: 13.29%		0.18%		
1560257893: 13.29%		0.18%		
1560257894: 13.29%		0.17%		
1560257896: 13.24%		0.17%		
1560257897: 13.29%		0.17%		
1560257898: 13.29%		0.17%		
1560257900: 13.29%		0.15%		
1560257901: 14.19%		0.15%		
1560257902: 14.29%		0.15%		
1560257903: 14.49%		0.15%		
1560257905: 13.39%		0.22%		
1560257906: 14.69%		0.22%		
1560257907: 14.39%		0.22%		
1560257908: 14.59%		0.22%		
1560257910: 14.74%		0.29%		
1560257911: 15.50%		0.29%		
1560257912: 19.11%		0.29%		
1560257914: 19.16%		0.29%		
1560257915: 19.16%		0.26%		
1560257916: 19.16%		0.26%		
1560257918: 19.16%		0.26%		
1560257919: 19.16%		0.26%		
1560257920: 19.16%		0.48%		
1560257921: 19.16%		0.48%		
1560257923: 20.56%		0.48%		
1560257924: 20.61%		0.48%		
1560257925: 21.87%		0.52%		
1560257927: 21.92%		0.52%		
1560257928: 21.97%		0.52%		
1560257929: 21.97%		0.52%		
1560257930: 21.97%		0.48%		
1560257932: 19.26%		0.48%		
1560257933: 19.26%		0.48%		
1560257934: 19.26%		0.68%		
1560257936: 13.34%		0.68%		
1560257937: 13.34%		0.68%		
1560257938: 14.29%		0.68%		
1560257940: 14.79%		0.79%		
1560257941: 14.54%		0.79%		
1560257942: 16.45%		0.79%		
1560257943: 17.60%		0.79%		
1560257945: 17.60%		0.73%		
1560257946: 17.65%		0.73%		
1560257947: 17.65%		0.73%		
1560257949: 17.60%		0.73%		
1560257950: 18.71%		0.75%		
1560257951: 18.86%		0.75%		
1560257952: 20.16%		0.75%		
1560257954: 21.97%		0.75%		
1560257955: 21.97%		0.69%		
1560257956: 22.02%		0.69%		
1560257958: 22.02%		0.69%		
1560257959: 22.02%		0.69%		
1560257960: 22.02%		0.71%		
1560257961: 22.02%		0.71%		
1560257963: 22.02%		0.71%		
1560257964: 22.02%		0.71%		
1560257965: 22.02%		0.66%		
1560257967: 22.02%		0.66%		
1560257968: 22.02%		0.66%		
1560257969: 22.02%		0.66%		
1560257970: 22.02%		0.60%		
1560257972: 22.02%		0.60%		
1560257973: 22.02%		0.60%		
1560257974: 21.97%		0.60%		
1560257976: 21.97%		0.72%		
1560257977: 21.97%		0.72%		
1560257978: 22.02%		0.72%		
1560257979: 22.02%		0.66%		
1560257981: 22.02%		0.66%		
1560257982: 22.02%		0.66%		
1560257983: 22.02%		0.66%		
1560257985: 22.02%		0.61%		
1560257986: 22.02%		0.61%		
1560257987: 22.02%		0.61%		
1560257988: 22.02%		0.61%		
1560257990: 22.02%		0.80%		
1560257991: 22.02%		0.80%		
1560257992: 22.02%		0.80%		
1560257994: 17.70%		0.80%		
1560257995: 17.70%		0.89%		
1560257996: 17.70%		0.89%		
1560257998: 17.25%		0.89%		
1560257999: 13.44%		0.89%		
1560258000: 13.39%		0.82%		
1560258001: 13.34%		0.82%		
1560258003: 14.74%		0.82%		
1560258004: 14.79%		0.82%		
1560258005: 15.55%		0.84%		
1560258007: 17.65%		0.84%		
